ta_season,ta_market,ta_name,ta_team_code,ta_team_id,ta_alias,ta_division,ta_current_division,ta_wins,ta_losses,ta_ties,spread_0,spread_1,spread_2,spread_3,spread_4,spread_5
2015,Northern Kentucky University,Norse,505,ab9a1315-293f-42d3-a164-860216e81576,NKU,1,D1,9,21,0,-12,-4,-12,-5,16,12
2015,Hofstra University,Pride,283,36ca2008-cd2e-4549-8b3b-c745167e07f3,HOF,1,D1,24,10,0,14,6,-13,-18,-12,9
2015,Fairfield University,Stags,220,a381465b-4530-4a00-a50c-5253cd7695a0,FAIR,1,D1,19,14,0,5,-17,-18,3,7,17
2015,College of William and Mary,Tribe,786,ad24b724-a11c-4dcd-a68c-67c53833ccb7,WM,1,D1,20,11,0,9,7,8,-4,-20,-12
2015,Pepperdine University,Waves,541,17479d6f-c8f1-458b-9412-8c76279a2bb4,PEPP,1,D1,18,14,0,4,4,-1,-6,-9,-9
2015,Utah State University,Aggies,731,7672ff16-8436-47e6-8546-0fb5494ec7ee,USU,1,D1,16,15,0,1,5,4,11,5,26
2015,New Mexico State University,Aggies,472,5016fe1a-9571-4d10-bf5b-b9c1b496bd57,NMSU,1,D1,23,11,0,12,12,16,13,16,-1
2015,"University of California, Davis",Aggies,108,8aaad1c0-d16e-4b9f-8541-dac670addd71,UCD,1,D1,11,19,0,-8,18,-13,-3,-21,-10
2015,North Carolina A&T State University,Aggies,488,53aaac6a-796e-41a6-a04e-6ce74c5717f8,NCAT,1,D1,10,22,0,-12,-14,-14,3,-8,-2
2015,"Texas A&M University, College Station",Aggies,697,ef184799-d79b-49d9-a662-991eaf4044cd,TXAM,1,D1,28,9,0,19,9,2,3,-4,15
2015,San Diego State University,Aztecs,626,e6914f16-ca37-4d2e-ba26-a425910283e2,SDSU,1,D1,28,10,0,18,18,26,12,18,31
2015,Lipscomb University,Bisons,28600,a2b8223d-40b3-4076-b5df-55655c2f8591,LIP,1,D1,12,21,0,-9,-3,0,-6,-5,4
